symbol,name,sector,market_cap,as_of
CVLT,Commvault Systems Inc. Common Stock,Technology,5864482729,2026-07-22
DUOL,Duolingo Inc. Class A Common Stock,Technology,5737942359,2026-07-22
APPF,AppFolio Inc. Class A Common Stock,Technology,5720657054,2026-07-22
ACIW,ACI Worldwide Inc. Common Stock,Technology,5568004189,2026-07-22
PATH,UiPath Inc. Class A Common Stock,Technology,5564559845,2026-07-22
ENPH,Enphase Energy Inc. Common Stock,Technology,5369459483,2026-07-22
GTLB,GitLab Inc. Class A Common Stock,Technology,5332173000,2026-07-22
VRNS,Varonis Systems Inc. Common Stock,Technology,5212562410,2026-07-22
ZETA,Zeta Global Holdings Corp. Class A Common Stock,Technology,5154647602,2026-07-22
RGTI,Rigetti Computing Inc. Common Stock,Technology,5145533532,2026-07-22
IRDM,Iridium Communications Inc Common Stock,Telecommunications,5084447209,2026-07-22
NTSK,Netskope Inc. Class A Common Stock,Technology,4970280501,2026-07-22
QLYS,Qualys Inc. Common Stock,Technology,4953297242,2026-07-22
KVYO,Klaviyo Inc. Series A Common Stock,Technology,4929138520,2026-07-22
MARA,MARA Holdings Inc. Common Stock,Technology,4891700553,2026-07-22
SAIC,Science Applications International Corporation Common Stock,Technology,4861411417,2026-07-22
SYNA,Synaptics Incorporated Common Stock $0.001 Par Value,Technology,4728479890,2026-07-22
UCTT,Ultra Clean Holdings Inc. Common Stock,Technology,4625165218,2026-07-22
EPAM,EPAM Systems Inc. Common Stock,Technology,4564597684,2026-07-22
PEGA,Pegasystems Inc. Common Stock,Technology,4446958117,2026-07-22
ACLS,Axcelis Technologies Inc. Common Stock,Technology,4437206379,2026-07-22
DIOD,Diodes Incorporated Common Stock,Technology,4391397676,2026-07-22
ONDS,Ondas Inc. Common Stock,Technology,4373817726,2026-07-22
IPGP,IPG Photonics Corporation Common Stock,Technology,4364264815,2026-07-22
LBRDA,Liberty Broadband Corporation Class A Common Stock,Telecommunications,4346546242,2026-07-22
LBRDK,Liberty Broadband Corporation Class C Common Stock,Telecommunications,4345828753,2026-07-22
LASR,nLIGHT Inc. Common Stock,Technology,4295878565,2026-07-22
LIF,Life360 Inc. Common Stock,Technology,4256594728,2026-07-22
BILL,BILL Holdings Inc. Common Stock,Technology,4222901225,2026-07-22
LILAP,Liberty Latin America Ltd. 9.0% Fixed Rate Cumulative Perpetual Redeemable Series A Preference Shares,Telecommunications,4131720590,2026-07-22
POWI,Power Integrations Inc. Common Stock,Technology,4126064815,2026-07-22
PI,Impinj Inc. Common Stock,Technology,4118386404,2026-07-22
EXTR,Extreme Networks Inc. Common Stock,Telecommunications,4009656178,2026-07-22
WAY,Waystar Holding Corp. Common Stock,Technology,4008889422,2026-07-22
BOX,Box Inc. Class A Common Stock,Technology,3987354960,2026-07-22
OLED,Universal Display Corporation Common Stock,Technology,3869571248,2026-07-22
TDS,Telephone and Data Systems Inc. Common Shares,Telecommunications,3861234000,2026-07-22
LFTO,Liftoff Mobile Inc. Common Stock,Technology,3831027281,2026-07-22
DOCS,Doximity Inc. Class A Common Stock,Technology,3753448765,2026-07-22
AXTI,AXT Inc Common Stock,Technology,3635893451,2026-07-22
TENB,Tenable Holdings Inc. Common Stock,Technology,3580530963,2026-07-22
FA,First Advantage Corporation Common Stock,Technology,3540524650,2026-07-22
OSIS,OSI Systems Inc. Common Stock (DE),Technology,3463055189,2026-07-22
CCC,CCC Intelligent Solutions Holdings Inc. Common Stock,Technology,3404255109,2026-07-22
VECO,Veeco Instruments Inc. Common Stock,Technology,3402616789,2026-07-22
QTWO,Q2 Holdings Inc. Common Stock,Technology,3258978021,2026-07-22
PPLI,People Incorporated Common Stock,Technology,3222466327,2026-07-22
RNG,RingCentral Inc. Class A Common Stock,Technology,3179918264,2026-07-22
FSLY,Fastly Inc. Class A Common Stock,Technology,3169125000,2026-07-22
NVTS,Navitas Semiconductor Corporation Common Stock,Technology,3146394551,2026-07-22
PENG,Penguin Solutions Inc. Common Stock,Technology,3117605807,2026-07-22
CARG,CarGurus Inc. Class A Common Stock ,Technology,3077634719,2026-07-22
ADEA,Adeia Inc. Common Stock,Technology,3067269160,2026-07-22
BHE,Benchmark Electronics Inc. Common Stock,Technology,3029098149,2026-07-22
AD,Array Digital Infrastructure Inc. Common Shares,Telecommunications,3017217600,2026-07-22
NTCT,NetScout Systems Inc. Common Stock,Technology,2952752380,2026-07-22
WK,Workiva Inc. Class A Common Stock,Technology,2920450245,2026-07-22
SOUN,SoundHound AI Inc Class A Common Stock,Technology,2804347235,2026-07-22
FRSH,Freshworks Inc. Class A Common Stock,Technology,2790602916,2026-07-22
BRZE,Braze Inc. Class A Common Stock,Technology,2786851730,2026-07-22
VISN,Vistance Networks Inc. Common Stock,Technology,2755333043,2026-07-22
AGYS,Agilysys Inc. Common Stock (DE),Technology,2753431010,2026-07-22
TDC,Teradata Corporation Common Stock,Technology,2733134500,2026-07-22
DJT,Trump Media & Technology Group Corp. Common Stock,Technology,2712762745,2026-07-22
MGNI,Magnite Inc. Common Stock,Technology,2683849156,2026-07-22
RUM,RUM Group Inc. Class A Common Stock,Technology,2667576965,2026-07-22
SHAZ,SharonAI Holdings Inc. Class A Common Stock,Technology,2644401467,2026-07-22
KD,Kyndryl Holdings Inc. Common Stock,Technology,2640693566,2026-07-22
ATEN,A10 Networks Inc. Common Stock,Telecommunications,2615693698,2026-07-22
AVPT,AvePoint Inc. Class A Common Stock,Technology,2582369447,2026-07-22
DGII,Digi International Inc. Common Stock,Telecommunications,2527932443,2026-07-22
ALRM,Alarm.com Holdings Inc. Common Stock,Technology,2502705500,2026-07-22
PLUS,ePlus inc. Common Stock,Technology,2425862998,2026-07-22
RAMP,LiveRamp Holdings Inc. Common Stock,Technology,2270119577,2026-07-22
SPSC,SPS Commerce Inc. Common Stock,Technology,2225891122,2026-07-22
PDFS,PDF Solutions Inc. Common Stock,Technology,2174900983,2026-07-22
BAND,Bandwidth Inc. Class A Common Stock,Technology,2173334799,2026-07-22
INOD,Innodata Inc. Common Stock,Technology,2078840090,2026-07-22
ATEX,Anterix Inc. Common Stock,Telecommunications,2054575548,2026-07-22
INTA,Intapp Inc. Common Stock,Technology,2024022793,2026-07-22
EVCM,EverCommerce Inc. Common Stock,Technology,1977424084,2026-07-22
ZD,Ziff Davis Inc. Common Stock,Telecommunications,1914151561,2026-07-22
OMCL,Omnicell Inc. Common Stock ($0.001 par value),Technology,1867364004,2026-07-22
PLAB,Photronics Inc. Common Stock,Technology,1862663220,2026-07-22
VERX,Vertex Inc. Class A Common Stock,Technology,1830149490,2026-07-22
WGS,GeneDx Holdings Corp. Class A Common Stock,Technology,1830118424,2026-07-22
QUBT,Quantum Computing Inc. Common Stock,Technology,1829088745,2026-07-22
MQ,Marqeta Inc. Class A Common Stock,Technology,1814849735,2026-07-22
NCNO,nCino Inc. Common Stock,Technology,1805432616,2026-07-22
FIVN,Five9 Inc. Common Stock,Technology,1792362959,2026-07-22
ALKT,Alkami Technology Inc. Common Stock,Technology,1775983193,2026-07-22
CTS,CTS Corporation Common Stock,Technology,1750029057,2026-07-22
EPAC,Enerpac Tool Group Corp. Common Stock,Technology,1740981158,2026-07-22
SHLS,Shoals Technologies Group Inc. Class A Common Stock,Technology,1727210856,2026-07-22
AMBQ,Ambiq Micro Inc. Common Stock,Technology,1689325839,2026-07-22
DV,DoubleVerify Holdings Inc. Common Stock,Technology,1682734832,2026-07-22
APPN,Appian Corporation Class A Common Stock,Technology,1657278609,2026-07-22
BL,BlackLine Inc. Common Stock,Technology,1652184727,2026-07-22
LIME,Neutron Holdings Inc. Common Stock,Technology,1616014625,2026-07-22
LILA,Liberty Latin America Ltd. Class A Common Stock,Telecommunications,1612811040,2026-07-22
TRIP,TripAdvisor Inc. Common Stock,Technology,1603456909,2026-07-22
LILAK,Liberty Latin America Ltd. Class C Common Stock,Telecommunications,1600626341,2026-07-22
WOLF,Wolfspeed Inc. Common Stock New,Technology,1599701269,2026-07-22
PRCH,Porch Group Inc. Common Stock,Technology,1596443475,2026-07-22
AIP,Arteris Inc. Common Stock,Technology,1590624780,2026-07-22
ASAN,Asana Inc. Class A Common Stock,Technology,1580144864,2026-07-22
IDT,IDT Corporation Class B Common Stock,Telecommunications,1573682856,2026-07-22
PRGS,Progress Software Corporation Common Stock (DE),Technology,1559722184,2026-07-22
BRUN,Boost Run Inc. Class A Common Stock,Technology,1557831173,2026-07-22
DXC,DXC Technology Company Common Stock ,Technology,1557220541,2026-07-22
SKYT,SkyWater Technology Inc. Common Stock,Technology,1531247214,2026-07-22
VPG,Vishay Precision Group Inc. Common Stock,Technology,1507402330,2026-07-22
CNXC,Concentrix Corporation Common Stock,Technology,1462914941,2026-07-22
BBAI,BigBear.ai Inc. Common Stock,Technology,1405716636,2026-07-22
BLKB,Blackbaud Inc. Common Stock,Technology,1396795343,2026-07-22
VIA,Via Transportation Inc. Class A Common Stock,Technology,1376339096,2026-07-22
GLOB,Globant S.A. Common Shares,Technology,1373757574,2026-07-22
SBET,Sharplink Inc. Common Stock,Technology,1345524669,2026-07-22
HLIT,Harmonic Inc. Common Stock,Technology,1325826448,2026-07-22
AI,C3.ai Inc. Class A Common Stock,Technology,1298001463,2026-07-22
CXM,Sprinklr Inc. Class A Common Stock,Technology,1296456198,2026-07-22
NSSC,NAPCO Security Technologies Inc. Common Stock,Telecommunications,1287613225,2026-07-22
AZTA,Azenta Inc.,Technology,1229295083,2026-07-22
LZ,LegalZoom.com Inc. Common Stock,Technology,1219557363,2026-07-22
AMPL,Amplitude Inc. Class A Common Stock,Technology,1180974386,2026-07-22
CRSR,Corsair Gaming Inc. Common Stock,Technology,1155931112,2026-07-22
CEVA,CEVA Inc. Common Stock,Technology,1152542096,2026-07-22
SCSC,ScanSource Inc. Common Stock,Technology,1103621925,2026-07-22
UPWK,Upwork Inc. Common Stock,Technology,1102399373,2026-07-22
ASST,Strive Inc. Class A Common Stock,Technology,1076832553,2026-07-22
RXT,Rackspace Technology Inc. Common Stock,Technology,1076572464,2026-07-22
CERT,Certara Inc. Common Stock,Technology,1061728450,2026-07-22
RCAT,Red Cat Holdings Inc. Common Stock,Technology,1009555919,2026-07-22
UMAC,Unusual Machines Inc. Common Stock,Technology,1001282687,2026-07-22
GDRX,GoodRx Holdings Inc. Class A Common Stock,Technology,1000785727,2026-07-22
EVLV,Evolv Technologies Holdings Inc. Class A Common Stock,Technology,977601113,2026-07-22
CRCT,Cricut Inc. Class A Common Stock,Technology,936147908,2026-07-22
EVER,EverQuote Inc. Class A Common Stock,Technology,914399236,2026-07-22
KDK,Kodiak AI Inc. Common Stock ,Technology,911261025,2026-07-22
RDVT,Red Violet Inc. Common Stock ,Technology,910095949,2026-07-22
GLIBA,Liberty Capital Corporation Series A GCI Group Common Stock,Telecommunications,902650964,2026-07-22
